name	link	movie_title	num_votes	num_comments	mbti
Harley Quinn/Harleen Quinzel	https://www.personality-database.com/profile/73773/harley-quinnharleen-quinzel-harley-quinn-2019-mbti-personality-type	Harley Quinn (2019)	593	72	ENFP
Robin	https://www.personality-database.com/profile/15097/robin-teen-titans-go-2013-mbti-personality-type	Teen Titans Go! (2013)	614	21	ESTJ
Michael Morbius	https://www.personality-database.com/profile/425223/michael-morbius-morbius-2022-mbti-personality-type	Morbius (2022)	309	17	INFJ
Peter Quill “Star-Lord”	https://www.personality-database.com/profile/2013/peter-quill-starlord-marvel-comics-mbti-personality-type	Marvel Comics	168	11	ENFP
John Constantine	https://www.personality-database.com/profile/8485/john-constantine-constantine-2014-mbti-personality-type	Constantine (2014)	155	6	ENTP
Clint Barton "Hawkeye"	https://www.personality-database.com/profile/180/clint-barton-hawkeye-mcu-the-heroes-mbti-personality-type	MCU: The Heroes	1.2k	40	ISTP
Edward Nygma “The Riddler”	https://www.personality-database.com/profile/1768/edward-nygma-the-riddler-gotham-2014-mbti-personality-type	Gotham (2014)	645	61	INTP
Beast Boy	https://www.personality-database.com/profile/2647/beast-boy-teen-titans-2003-mbti-personality-type	Teen Titans (2003)	890	22	ESFP
Peter Maximoff “Quicksilver”	https://www.personality-database.com/profile/7062/peter-maximoff-quicksilver-xmen-cinematic-universe-20112020-mbti-personality-type	X-Men Cinematic Universe (2011-2020)	813	44	ESTP
Peter B. Parker “Spider-Man”	https://www.personality-database.com/profile/22942/peter-b-parker-spiderman-spiderman-into-the-spiderverse-2018-mbti-personality-type	Spider-Man: Into the Spider-Verse (2018)	808	134	INTP
Nick Fury	https://www.personality-database.com/profile/658/nick-fury-mcu-the-heroes-mbti-personality-type	MCU: The Heroes	756	59	ENTJ
Marc Spector "Moon Knight"	https://www.personality-database.com/profile/456028/marc-spector-moon-knight-mcu-the-heroes-mbti-personality-type	MCU: The Heroes	872	93	ISTP
Venom	https://www.personality-database.com/profile/22852/venom-venom-2018-mbti-personality-type	Venom (2018)	894	135	ESTP
Wilson Fisk “Kingpin”	https://www.personality-database.com/profile/1637/wilson-fisk-kingpin-daredevil-2015-mbti-personality-type	Daredevil (2015)	795	237	INFP
Sersi	https://www.personality-database.com/profile/416982/sersi-mcu-the-heroes-mbti-personality-type	MCU: The Heroes	530	38	INFJ
Bruce Wayne “Batman”	https://www.personality-database.com/profile/2440/bruce-wayne-batman-dc-extended-universe-mbti-personality-type	DC Extended Universe	750	105	INTJ
Tony Stark “Iron Man”	https://www.personality-database.com/profile/1982/tony-stark-iron-man-marvel-comics-mbti-personality-type	Marvel Comics	646	90	ENTP
Xu Shang-Chi	https://www.personality-database.com/profile/388882/xu-shangchi-mcu-the-heroes-mbti-personality-type	MCU: The Heroes	673	110	ISFP
Thena	https://www.personality-database.com/profile/416965/thena-mcu-the-heroes-mbti-personality-type	MCU: The Heroes	486	67	ISTP
Xu Xialing	https://www.personality-database.com/profile/388885/xu-xialing-mcu-the-heroes-mbti-personality-type	MCU: The Heroes	602	57	INTJ
Frank Castle "Punisher"	https://www.personality-database.com/profile/2415/frank-castle-punisher-the-punisher-2017-mbti-personality-type	The Punisher (2017)	682	93	ISTJ
Gwen Stacy	https://www.personality-database.com/profile/596/gwen-stacy-the-amazing-spiderman-2012-mbti-personality-type	The Amazing Spider-Man (2012)	581	15	ENFJ
Adrian Chase “Vigilante”	https://www.personality-database.com/profile/435581/adrian-chase-vigilante-dc-extended-universe-mbti-personality-type	DC Extended Universe	407	37	ENFP
Jessica Jones	https://www.personality-database.com/profile/1950/jessica-jones-jessica-jones-2015-mbti-personality-type	Jessica Jones (2015)	650	34	ISTP
Mary Jane Watson	https://www.personality-database.com/profile/921/mary-jane-watson-the-spiderman-trilogy-2002-mbti-personality-type	The Spider-Man Trilogy (2002)	523	68	ISFP
Sprite	https://www.personality-database.com/profile/416988/sprite-mcu-the-heroes-mbti-personality-type	MCU: The Heroes	377	62	ESFP
Ikaris	https://www.personality-database.com/profile/317503/ikaris-mcu-the-villains-mbti-personality-type	MCU: The Villains	404	35	ISTJ
Grandmaster	https://www.personality-database.com/profile/8867/grandmaster-mcu-the-villains-mbti-personality-type	MCU: The Villains	337	10	ENTP
Phastos	https://www.personality-database.com/profile/416983/phastos-mcu-the-heroes-mbti-personality-type	MCU: The Heroes	266	16	INTP
Leopold James "Leo" Fitz	https://www.personality-database.com/profile/662/leopold-james-leo-fitz-agents-of-shield-mbti-personality-type	Agents of S.H.I.E.L.D.	222	6	INTP
Nakia	https://www.personality-database.com/profile/9910/nakia-mcu-the-heroes-mbti-personality-type	MCU: The Heroes	199	3	INFJ
Layla El-Faouly "Scarlet Scarab"	https://www.personality-database.com/profile/474789/layla-elfaouly-scarlet-scarab-moon-knight-mbti-personality-type	Moon Knight	225	31	ENFJ
Jason Todd/Red Hood(Under The Red Hood)	https://www.personality-database.com/profile/207962/jason-toddred-hoodunder-the-red-hood-dc-animated-movie-universe-mbti-personality-type	DC Animated Movie Universe	187	15	ISTP
Arnim Zola	https://www.personality-database.com/profile/4285/arnim-zola-mcu-the-villains-mbti-personality-type	MCU: The Villains	149	2	INTP
Peter Parker "Spider-Man"	https://www.personality-database.com/profile/16277/peter-parker-spiderman-spiderman-the-animated-series-1994-mbti-personality-type	Spider-Man: The Animated Series (1994)	175	16	ENTP
Raven	https://www.personality-database.com/profile/137609/raven-dc-animated-movie-universe-mbti-personality-type	DC Animated Movie Universe	153	4	INFJ
Conner Kent "Superboy"	https://www.personality-database.com/profile/4697/conner-kent-superboy-young-justice-2010-mbti-personality-type	Young Justice (2010)	228	23	ISFP
Trish Walker	https://www.personality-database.com/profile/1952/trish-walker-jessica-jones-2015-mbti-personality-type	Jessica Jones (2015)	136	4	ENFJ
Gwen Stacy “Ghost-Spider”	https://www.personality-database.com/profile/28443/gwen-stacy-ghostspider-marvel-comics-mbti-personality-type	Marvel Comics	123	14	ENFP
Jessica Cruz “Green Lantern”	https://www.personality-database.com/profile/201430/jessica-cruz-green-lantern-dc-super-hero-girls-mbti-personality-type	DC Super Hero Girls	145	5	INFJ
Felicia Hardy "Black Cat"	https://www.personality-database.com/profile/29406/felicia-hardy-black-cat-marvel-comics-mbti-personality-type	Marvel Comics	154	4	ESTP
Karen Beecher “Bumblebee”	https://www.personality-database.com/profile/201427/karen-beecher-bumblebee-dc-super-hero-girls-mbti-personality-type	DC Super Hero Girls	104	5	INFP
Maya Lopez “Echo”	https://www.personality-database.com/profile/424318/maya-lopez-echo-hawkeye-2021-mbti-personality-type	Hawkeye (2021)	103	5	ISFP
Emil Blonsky “Abomination”	https://www.personality-database.com/profile/4284/emil-blonsky-abomination-mcu-the-villains-mbti-personality-type	MCU: The Villains	101	5	ESTJ
Uatu "The Watcher"	https://www.personality-database.com/profile/344974/uatu-the-watcher-what-if-2021-mbti-personality-type	What If...? (2021)	103	7	INTP
Clayface / Basil Karlo	https://www.personality-database.com/profile/73783/clayface-basil-karlo-harley-quinn-2019-mbti-personality-type	Harley Quinn (2019)	74	4	ESFP
Raina	https://www.personality-database.com/profile/668/raina-agents-of-shield-mbti-personality-type	Agents of S.H.I.E.L.D.	73	2	ENTJ
Laura Barton	https://www.personality-database.com/profile/17507/laura-barton-mcu-everyone-else-mbti-personality-type	MCU: Everyone Else	63	2	ISFJ
Eleanor Bishop	https://www.personality-database.com/profile/424320/eleanor-bishop-hawkeye-2021-mbti-personality-type	Hawkeye (2021)	65	0	ESTJ
Kitty Pryde "Shadowcat"	https://www.personality-database.com/profile/11225/kitty-pryde-shadowcat-xmen-evolution-mbti-personality-type	X-Men: Evolution	53	8	ENFP
Kurt Wagner "Nightcrawler"	https://www.personality-database.com/profile/11226/kurt-wagner-nightcrawler-xmen-evolution-mbti-personality-type	X-Men: Evolution	55	3	ENFP
James "Bucky" Barnes "Winter Soldier"	https://www.personality-database.com/profile/344997/james-bucky-barnes-winter-soldier-what-if-2021-mbti-personality-type	What If...? (2021)	50	5	ISTP
Teth-Adam "Black Adam"	https://www.personality-database.com/profile/3750/tethadam-black-adam-dc-comics-mbti-personality-type	DC Comics	50	1	ESTJ
Kazimierz "Kazi" Kazimierczak	https://www.personality-database.com/profile/424324/kazimierz-kazi-kazimierczak-hawkeye-2021-mbti-personality-type	Hawkeye (2021)	52	1	INFJ
