name	link	movie_title	num_votes	num_comments	mbti
Ice Bear	https://www.personality-database.com/profile/7539/ice-bear-we-bare-bears-2014-mbti-personality-type	We Bare Bears (2014)	1.3k	105	ISTP
Wirt	https://www.personality-database.com/profile/12413/wirt-over-the-garden-wall-2014-mbti-personality-type	Over the Garden Wall (2014)	1.3k	121	INFP
Marge Simpson	https://www.personality-database.com/profile/1292/marge-simpson-the-simpsons-1989-mbti-personality-type	The Simpsons (1989)	1.3k	88	ISFJ
Starlight Glimmer	https://www.personality-database.com/profile/7587/starlight-glimmer-my-little-pony-friendship-is-magic-2010-mbti-personality-type	My Little Pony: Friendship Is Magic (2010)	962	94	ESTJ
Bow	https://www.personality-database.com/profile/25089/bow-shera-and-the-princesses-of-power-2018-mbti-personality-type	She-Ra and the Princesses of Power (2018)	1k	97	ESFJ
Marco Diaz	https://www.personality-database.com/profile/7520/marco-diaz-star-vs-the-forces-of-evil-2015-mbti-personality-type	Star vs. the Forces of Evil (2015)	892	177	ISFJ
Dr. Flug Slys	https://www.personality-database.com/profile/25545/dr-flug-slys-villainous-mbti-personality-type	Villainous	580	62	XXXX
Leonardo “Leo”	https://www.personality-database.com/profile/13072/leonardo-leo-teenage-mutant-ninja-turtles-2012-mbti-personality-type	Teenage Mutant Ninja Turtles (2012)	616	78	ENFJ
Tord	https://www.personality-database.com/profile/5149/tord-eddsworld-mbti-personality-type	Eddsworld	654	121	ISTP
Pacifica Northwest	https://www.personality-database.com/profile/15638/pacifica-northwest-gravity-falls-2012-mbti-personality-type	Gravity Falls (2012)	709	40	ESTJ
Anne Savisa Boonchuy	https://www.personality-database.com/profile/39813/anne-savisa-boonchuy-amphibia-2019-mbti-personality-type	Amphibia (2019)	905	76	ESFP
Ned Flanders	https://www.personality-database.com/profile/1961/ned-flanders-the-simpsons-1989-mbti-personality-type	The Simpsons (1989)	607	32	ESFJ
Pops Maellard	https://www.personality-database.com/profile/3795/pops-maellard-regular-show-2010-mbti-personality-type	Regular Show (2010)	548	65	ESFJ
Frankie Stein	https://www.personality-database.com/profile/30857/frankie-stein-monster-high-2010-mbti-personality-type	Monster High (2010)	542	9	ENFJ
Donatello “Donnie”	https://www.personality-database.com/profile/13073/donatello-donnie-teenage-mutant-ninja-turtles-2012-mbti-personality-type	Teenage Mutant Ninja Turtles (2012)	536	24	INTP
Dokko (Лосяш)	https://www.personality-database.com/profile/207701/dokko--kikorikigogorikismeshariki-mbti-personality-type	KikoRiki/GoGoRiki/Smeshariki(Смешарики)	452	54	INTP
Devon Joseph "DJ"	https://www.personality-database.com/profile/8582/devon-joseph-dj-total-drama-2007-mbti-personality-type	Total Drama (2007)	477	17	ISFJ
Lana Loud	https://www.personality-database.com/profile/10505/lana-loud-the-loud-house-2015-mbti-personality-type	The Loud House (2015)	311	23	ESTP
Eva	https://www.personality-database.com/profile/8584/eva-total-drama-2007-mbti-personality-type	Total Drama (2007)	459	22	ISTP
Samurai Jack	https://www.personality-database.com/profile/2115/samurai-jack-samurai-jack-mbti-personality-type	Samurai Jack	289	19	ISFJ
Steve Smith	https://www.personality-database.com/profile/1900/steve-smith-american-dad-mbti-personality-type	American Dad!	252	34	INFP
Geoff	https://www.personality-database.com/profile/8586/geoff-total-drama-2007-mbti-personality-type	Total Drama (2007)	396	36	ESFP
Pucca	https://www.personality-database.com/profile/52755/pucca-pucca-2006-mbti-personality-type	Pucca (2006)	335	33	ENFP
