name	link	movie_title	num_votes	num_comments	mbti
Dolores Madrigal	https://www.personality-database.com/profile/395200/dolores-madrigal-encanto-2021-mbti-personality-type	Encanto (2021)	1.5k	265	ISFP
Bellatrix Lestrange	https://www.personality-database.com/profile/4045/bellatrix-lestrange-harry-potter-wizarding-world-films-mbti-personality-type	Harry Potter / Wizarding World Films	1.2k	60	ESFP
Neville Longbottom	https://www.personality-database.com/profile/714/neville-longbottom-harry-potter-wizarding-world-films-mbti-personality-type	Harry Potter / Wizarding World Films	1.1k	122	ISFJ
Cedric Diggory	https://www.personality-database.com/profile/3822/cedric-diggory-harry-potter-wizarding-world-films-mbti-personality-type	Harry Potter / Wizarding World Films	1.1k	64	ESFJ
Mufasa	https://www.personality-database.com/profile/866/mufasa-the-lion-king-franchise-mbti-personality-type	The Lion King (Franchise)	955	57	ENFJ
Enola Holmes	https://www.personality-database.com/profile/153088/enola-holmes-enola-holmes-2020-mbti-personality-type	Enola Holmes (2020)	928	52	ENFP
The Cat	https://www.personality-database.com/profile/7251/the-cat-coraline-2009-mbti-personality-type	Coraline (2009)	913	80	ISTP
Kim Ki-jeong	https://www.personality-database.com/profile/54828/kim-kijeong-parasite-2019-mbti-personality-type	Parasite (2019)	973	59	ISTP
Lara Jean Covey	https://www.personality-database.com/profile/15172/lara-jean-covey-to-all-the-boys-trilogy-mbti-personality-type	To All the Boys (trilogy)	831	195	INFP
Hannibal Lecter	https://www.personality-database.com/profile/2862/hannibal-lecter-the-silence-of-the-lambs-1991-mbti-personality-type	The Silence of the Lambs (1991)	1.1k	91	INTJ
Emily "Corpse Bride"	https://www.personality-database.com/profile/5598/emily-corpse-bride-corpse-bride-2005-mbti-personality-type	Corpse Bride (2005)	1.1k	128	ENFP
Terence Fletcher	https://www.personality-database.com/profile/14891/terence-fletcher-whiplash-2014-mbti-personality-type	Whiplash (2014)	1.3k	187	ENTJ
Snow White	https://www.personality-database.com/profile/594/snow-white-snow-white-and-the-seven-dwarfs-1937-mbti-personality-type	Snow White and the Seven Dwarfs (1937)	1.1k	83	ESFJ
Mushu	https://www.personality-database.com/profile/4833/mushu-mulan-1998-mbti-personality-type	Mulan (1998)	889	26	ENTP
Lucy Pevensie	https://www.personality-database.com/profile/4531/lucy-pevensie-the-chronicles-of-narnia-film-trilogy-mbti-personality-type	The Chronicles of Narnia (Film Trilogy)	752	30	INFP
Aladdin	https://www.personality-database.com/profile/611/aladdin-aladdin-1992-mbti-personality-type	Aladdin (1992)	800	61	ESFP
Ziggy Berman	https://www.personality-database.com/profile/324857/ziggy-berman-fear-street-franchise-mbti-personality-type	Fear Street (Franchise)	881	74	ISTP
James Bond (Craig)	https://www.personality-database.com/profile/95400/james-bond-craig-james-bond-film-series-mbti-personality-type	James Bond Film Series	504	115	ISTP
Charlie “Nuwanda” Dalton	https://www.personality-database.com/profile/12062/charlie-nuwanda-dalton-dead-poets-society-1989-mbti-personality-type	Dead Poets Society (1989)	847	37	ENTP
